Year,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals,Result,Stage
1930.0,France,Mexico,4,1,H,Group 1
1930.0,USA,Belgium,3,0,H,Group 4
1930.0,Yugoslavia,Brazil,2,1,H,Group 2
1930.0,Romania,Peru,3,1,H,Group 3
1930.0,Argentina,France,1,0,H,Group 1
1930.0,Chile,Mexico,3,0,H,Group 1
1930.0,Yugoslavia,Bolivia,4,0,H,Group 2
1930.0,USA,Paraguay,3,0,H,Group 4
1930.0,Uruguay,Peru,1,0,H,Group 3
1930.0,Chile,France,1,0,H,Group 1
1930.0,Argentina,Mexico,6,3,H,Group 1
1930.0,Brazil,Bolivia,4,0,H,Group 2
1930.0,Paraguay,Belgium,1,0,H,Group 4
1930.0,Uruguay,Romania,4,0,H,Group 3
1930.0,Argentina,Chile,3,1,H,Group 1
1930.0,Argentina,USA,6,1,H,Semi-finals
1930.0,Uruguay,Yugoslavia,6,1,H,Semi-finals
1930.0,Uruguay,Argentina,4,2,H,Final
1934.0,Austria,France,3,2,H,Preliminary round
1934.0,Hungary,Egypt,4,2,H,Preliminary round
1934.0,Switzerland,Netherlands,3,2,H,Preliminary round
1934.0,Sweden,Argentina,3,2,H,Preliminary round
1934.0,Germany,Belgium,5,2,H,Preliminary round
1934.0,Spain,Brazil,3,1,H,Preliminary round
1934.0,Italy,USA,7,1,H,Preliminary round
1934.0,Czechoslovakia,Romania,2,1,H,Preliminary round
1934.0,Czechoslovakia,Switzerland,3,2,H,Quarter-finals
1934.0,Germany,Sweden,2,1,H,Quarter-finals
1934.0,Italy,Spain,1,1,D,Quarter-finals
1934.0,Austria,Hungary,2,1,H,Quarter-finals
1934.0,Italy,Spain,1,0,H,Quarter-finals
1934.0,Italy,Austria,1,0,H,Semi-finals
1934.0,Czechoslovakia,Germany,3,1,H,Semi-finals
1934.0,Germany,Austria,3,2,H,Match for third place
1934.0,Italy,Czechoslovakia,2,1,H,Final
1938.0,Switzerland,Germany,1,1,D,First round
1938.0,Hungary,Dutch East Indies,6,0,H,First round
1938.0,France,Belgium,3,1,H,First round
1938.0,Cuba,Romania,3,3,D,First round
1938.0,Italy,Norway,2,1,H,First round
1938.0,Brazil,Poland,6,5,H,First round
1938.0,Czechoslovakia,Netherlands,3,0,H,First round
1938.0,Cuba,Romania,2,1,H,First round
1938.0,Switzerland,Germany,4,2,H,First round
1938.0,Brazil,Czechoslovakia,1,1,D,Quarter-finals
1938.0,Hungary,Switzerland,2,0,H,Quarter-finals
1938.0,Sweden,Cuba,8,0,H,Quarter-finals
1938.0,Italy,France,3,1,H,Quarter-finals
1938.0,Brazil,Czechoslovakia,2,1,H,Quarter-finals
1938.0,Hungary,Sweden,5,1,H,Semi-finals
1938.0,Italy,Brazil,2,1,H,Semi-finals
1938.0,Brazil,Sweden,4,2,H,Match for third place
1938.0,Italy,Hungary,4,2,H,Final
1950.0,Brazil,Mexico,4,0,H,Group 1
1950.0,England,Chile,2,0,H,Group 2
1950.0,Spain,USA,3,1,H,Group 2
1950.0,Sweden,Italy,3,2,H,Group 3
1950.0,Yugoslavia,Switzerland,3,0,H,Group 1
1950.0,Brazil,Switzerland,2,2,D,Group 1
1950.0,Yugoslavia,Mexico,4,1,H,Group 1
1950.0,Spain,Chile,2,0,H,Group 2
1950.0,Sweden,Paraguay,2,2,D,Group 3
1950.0,USA,England,1,0,H,Group 2
1950.0,Brazil,Yugoslavia,2,0,H,Group 1
1950.0,Spain,England,1,0,H,Group 2
1950.0,Italy,Paraguay,2,0,H,Group 3
1950.0,Uruguay,Bolivia,8,0,H,Group 4
1950.0,Switzerland,Mexico,2,1,H,Group 1
1950.0,Chile,USA,5,2,H,Group 2
1950.0,Uruguay,Spain,2,2,D,Group 6
1950.0,Brazil,Sweden,7,1,H,Group 6
1950.0,Brazil,Spain,6,1,H,Group 6
1950.0,Uruguay,Sweden,3,2,H,Group 6
1950.0,Sweden,Spain,3,1,H,Group 6
1950.0,Uruguay,Brazil,2,1,H,Group 6
1954.0,Uruguay,Czechoslovakia,2,0,H,Group 3
